TODEL	ap2298	cdd65	dsw247	       ha267	jfw225	ka483	ly425	ncs79	rgw75	   sl2753   um44    yl2282
aa2222	ap2299	cdd79	dsx3	       ha268	jfy7	ka523	ly428	ncs85	rh458	   sl2758   umh4    yl2392
aa2244	ap2356	cdd82	dsz25	       ha292	jg2222	kaa86	lyc26	ncs94	rh463	   sl2768   umt2    yl2422
aa2277	ap2357	cdh99	dt356	       ha322	jg2262	kac385	lyc28	nct36	rh553	   sl2777   un35    yl2443
aa2288	ap2358	cdj48	dt369	       ha323	jg2263	kac395	lyh7	nct43	rh564	   sl2838   ur37    yl2546
aa2289	ap2365	cdm225	dt372	       ha332	jg2288	kac427	lyl27	ncv7	rh635	   sl2842   us62    yl2557
aa2293	ap2397	cdm226	dt377	       ha333	jg2337	kad279	lys8	ncw37	rh643	   sl2847   usa5    yl2626
aa2296	ap262	cdm234	dt378	       ha366	jg2352	kaf245	lyt5	ncw47	rh656	   sl2854   ut33    yl2634
aa2298	ap634	cdm237	dt379	       ha385	jg2353	kah279	lyw8	ncy4	rh662	   sl2863   va238   yl2666
aa2325	ap639	cdm89	dt393	       ha75	jg2367	kah288	lyx4	nd286	rh668	   sl2872   va243   yl2695
aa2328	ap663	cdr84	dt398	       haa62	jg2368	kah294	lz246	nd287	rh692	   sl2873   va289   yl2724
aa2364	ap689	cds244	dt425	       hab92	jg2369	kah298	lz269	nd288	rh693	   sl2874   vaa35   yl2729
aa2368	ap724	cds258	dt426	       hae24	jg2377	kah336	lz284	nd289	rh696	   sl2883   vab59   yl2795
aa2374	ap736	cds273	dt429	       haf48	jg2399	kah342	lz324	nd323	rhd89	   sl2884   vac55   yl2866
aa2375	ap756	cdt57	dt439	       hag65	jg2432	kah343	lz359	nd329	rhf83	   sl2886   vac68   yl2867
aa2398	ap762	cdw99	dt457	       hah83	jg2444	kaj94	lz382	nd339	rhf84	   sl2938   vae4    yl2868
aa2442	ap763	ce223	dt487	       hak63	jg2448	kak326	lz384	nd347	rhh234	   sl2973   vah36   yl2882
aa2443	ap764	ce247	dt488	       hak68	jg792	kal297	lz458	nd353	rhm255	   sl2974   vaj23   yl2883
aa2456	ap797	ce248	dt522	       hat33	jg843	kam455	lz485	nd356	rhm256	   sl2977   val45   yl2886
aa2467	ap798	cea57	dt538	       haw72	jg844	kam523	lz527	nd379	rhn26	   sl3235   vam53   yl2889
aa2468	ap822	cea95	dta35	       hb365	jg845	kan65	lz533	nd396	rhp82	   sl3243   vap43   yl2892
aa2543	ap825	cec272	dtb49	       hb377	jg849	kao65	lz547	nd432	rhv26	   sl3264   vap58   yl2898
aa2546	ap828	cec335	dtc66	       hb392	jg874	kao78	lz548	nd433	rhw228	   sl3275   vat23   yl2924
aa2555	ap835	cec343	dtl47	       hb425	jg882	kap256	lz555	nda29	rhx2	   sl3282   vaz5    yl2948
aa2639	ap842	cec345	dtl54	       hb437	jg925	kap272	lz566	ndh36	ric36	   sl3283   vb239   yl2966
aa2645	ap855	ced94	dtm97	       hb469	jg929	kap279	lz568	ndh42	ril33	   sl3284   vb249   yl2967
aa2663	ap924	cee47	dtn26	       hb474	jgb249	kas424	lz67	ndm46	rir9	   sl3285   vb268   yl2976
aa2679	ap925	ceg243	dts76	       hb482	jgc239	kas496	lzh5	ndr44	rj254	   sl3292   vb269   yl2999
aa2686	ap963	ceh256	dts86	       hba28	jgc254	kas499	ma2238	ndu2	rj273	   sl3295   vb272   yl3226
